linea;nodo_1;nodo_2;distancia;descripcion;tipodia;hora_desde;hora_hasta;tr_optimo;tr_minimo;tr_maximo;trayecto;sentido;secuencia;tipo_arco;
27;Banderas T1;Marsella B - 2 ó 5;2601;C19 P. Suba;Habil;16:00:00;17:00:00;00:10:46;00:10:14;00:11:19;1523;1;1;1;
27;Banderas T1;Marsella B - 2 ó 5;2601;C19 P. Suba;Habil;17:00:00;18:30:00;00:09:41;00:09:18;00:09:58;1523;1;1;1;
27;Banderas T1;Marsella B - 2 ó 5;2601;C19 P. Suba;Habil;18:30:00;19:30:00;00:11:43;00:11:14;00:12:04;1523;1;1;1;
27;Banderas T1;Marsella B - 2 ó 5;2601;C19 P. Suba;Habil;19:30:00;20:30:00;00:11:25;00:10:50;00:11:59;1523;1;1;1;
27;Banderas T1;Marsella B - 2 ó 5;2601;C19 P. Suba;Habil;20:30:00;30:00:00;00:10:51;00:10:16;00:11:06;1523;1;1;1;
27;Marsella B - 2 ó 5;Portal Suba T6;26084;C19 P. Suba;Habil;01:00:00;05:30:00;01:11:36;01:07:41;01:14:43;1523;1;2;1;
27;Marsella B - 2 ó 5;Portal Suba T6;26084;C19 P. Suba;Habil;05:30:00;06:30:00;01:15:29;01:12:29;01:17:15;1523;1;2;1;
27;Marsella B - 2 ó 5;Portal Suba T6;26084;C19 P. Suba;Habil;06:30:00;08:00:00;01:16:33;01:13:24;01:18:55;1523;1;2;1;
27;Marsella B - 2 ó 5;Portal Suba T6;26084;C19 P. Suba;Habil;08:00:00;09:00:00;01:12:41;01:09:13;01:15:31;1523;1;2;1;
27;Marsella B - 2 ó 5;Portal Suba T6;26084;C19 P. Suba;Habil;09:00:00;16:00:00;01:10:21;01:07:02;01:12:42;1523;1;2;1;
27;Marsella B - 2 ó 5;Portal Suba T6;26084;C19 P. Suba;Habil;16:00:00;17:00:00;01:16:40;01:12:50;01:20:30;1523;1;2;1;
27;Marsella B - 2 ó 5;Portal Suba T6;26084;C19 P. Suba;Habil;17:00:00;18:30:00;01:18:59;01:15:11;01:21:51;1523;1;2;1;
27;Marsella B - 2 ó 5;Portal Suba T6;26084;C19 P. Suba;Habil;18:30:00;19:30:00;01:13:13;01:09:46;01:15:46;1523;1;2;1;
27;Marsella B - 2 ó 5;Portal Suba T6;26084;C19 P. Suba;Habil;19:30:00;20:30:00;01:11:08;01:07:35;01:14:42;1523;1;2;1;
27;Marsella B - 2 ó 5;Portal Suba T6;26084;C19 P. Suba;Habil;20:30:00;30:00:00;01:01:12;00:57:18;01:02:54;1523;1;2;1;
27;Portal Suba T6;La Campiña A - 2;987;F19 Banderas;Habil;01:00:00;05:30:00;00:08:38;00:08:12;00:09:03;1523;2;1;1;
27;Portal Suba T6;La Campiña A - 2;987;F19 Banderas;Habil;05:30:00;06:30:00;00:06:41;00:06:33;00:06:47;1523;2;1;1;
27;Portal Suba T6;La Campiña A - 2;987;F19 Banderas;Habil;06:30:00;08:00:00;00:10:31;00:10:13;00:10:40;1523;2;1;1;
27;Portal Suba T6;La Campiña A - 2;987;F19 Banderas;Habil;08:00:00;09:00:00;00:05:38;00:05:32;00:05:41;1523;2;1;1;
27;Portal Suba T6;La Campiña A - 2;987;F19 Banderas;Habil;09:00:00;16:00:00;00:11:31;00:11:09;00:11:44;1523;2;1;1;
27;Portal Suba T6;La Campiña A - 2;987;F19 Banderas;Habil;16:00:00;17:00:00;00:05:50;00:05:43;00:05:55;1523;2;1;1;
27;Portal Suba T6;La Campiña A - 2;987;F19 Banderas;Habil;17:00:00;18:30:00;00:08:56;00:08:29;00:09:23;1523;2;1;1;
27;Portal Suba T6;La Campiña A - 2;987;F19 Banderas;Habil;18:30:00;19:30:00;00:13:44;00:13:13;00:14:02;1523;2;1;1;
27;Portal Suba T6;La Campiña A - 2;987;F19 Banderas;Habil;19:30:00;20:30:00;00:09:29;00:09:05;00:09:39;1523;2;1;1;
27;Portal Suba T6;La Campiña A - 2;987;F19 Banderas;Habil;20:30:00;30:00:00;00:05:19;00:05:11;00:05:23;1523;2;1;1;
27;La Campiña A - 2;Banderas T1;26311;F19 Banderas;Habil;01:00:00;05:30:00;01:08:35;01:05:10;01:12:01;1523;2;2;1;
